Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2021
01294;Peyrieu;908
01295;Peyzieux-sur-Saône;666
01296;Pirajoux;407
01297;Pizay;914
01298;Plagne;161
01299;Le Plantay;579
01301;Polliat;2648
01302;Pollieu;168
01303;Poncin;1729
01304;Pont-d'Ain;2871
01305;Pont-de-Vaux;2189
01306;Pont-de-Veyle;1629
01307;Port;843
01308;Pougny;796
01309;Pouillat;81
01310;Prémeyzel;247
01311;Prémillieu;44
01313;Prévessin-Moëns;9063
01314;Priay;1764
01317;Ramasse;331
01318;Rancé;741
01319;Relevant;467
01320;Replonges;3899
01321;Revonnas;896
01322;Reyrieux;5098
01323;Reyssouze;1010
01325;Rignieux-le-Franc;1098
01328;Romans;617
01329;Rossillon;160
01330;Ruffieu;177
01331;Saint-Alban;192
01332;Saint-André-de-Bâgé;809
01333;Saint-André-de-Corcy;3368
01334;Saint-André-d'Huiriat;675
01335;Saint-André-le-Bouchoux;418
01336;Saint-André-sur-Vieux-Jonc;1211
01337;Saint-Bénigne;1343
01338;Groslée-Saint-Benoit;1238
01339;Saint-Bernard;1497
01342;Sainte-Croix;547
01343;Saint-Cyr-sur-Menthon;1844
01344;Saint-Denis-lès-Bourg;6063
01345;Saint-Denis-en-Bugey;2240
01346;Saint-Didier-d'Aussiat;850
01347;Saint-Didier-de-Formans;2141
01348;Saint-Didier-sur-Chalaronne;3052
01349;Saint-Éloi;524
01350;Saint-Étienne-du-Bois;2553
01351;Saint-Étienne-sur-Chalaronne;1613
01352;Saint-Étienne-sur-Reyssouze;581
01353;Sainte-Euphémie;1730
01354;Saint-Genis-Pouilly;14558
01355;Saint-Genis-sur-Menthon;486
01356;Saint-Georges-sur-Renon;199
01357;Saint-Germain-de-Joux;505
01358;Saint-Germain-les-Paroisses;425
01359;Saint-Germain-sur-Renon;257
01360;Saint-Jean-de-Gonville;1988
01361;Saint-Jean-de-Niost;1826
01362;Saint-Jean-de-Thurigneux;829
01363;Saint-Jean-le-Vieux;1786
01364;Saint-Jean-sur-Reyssouze;767
01365;Saint-Jean-sur-Veyle;1159
01366;Sainte-Julie;1090
01367;Saint-Julien-sur-Reyssouze;707
01368;Saint-Julien-sur-Veyle;848
01369;Saint-Just;954
01370;Saint-Laurent-sur-Saône;1659
01371;Saint-Marcel;1261
01372;Saint-Martin-de-Bavel;436
01373;Saint-Martin-du-Frêne;1033
01374;Saint-Martin-du-Mont;1899
01375;Saint-Martin-le-Châtel;781
01376;Saint-Maurice-de-Beynost;4155
01378;Saint-Maurice-de-Gourdans;2748
01379;Saint-Maurice-de-Rémens;756
01380;Saint-Nizier-le-Bouchoux;598
01381;Saint-Nizier-le-Désert;922
01382;Sainte-Olive;331
01383;Saint-Paul-de-Varax;1641
01384;Saint-Rambert-en-Bugey;2173
01385;Saint-Rémy;943
01386;Saint-Sorlin-en-Bugey;1125
01387;Saint-Sulpice;260
01388;Saint-Trivier-de-Courtes;1119
01389;Saint-Trivier-sur-Moignans;1857
01390;Saint-Vulbas;1234
01391;Salavre;284
01392;Samognat;660
01393;Sandrans;567
01396;Sault-Brénaz;997
01397;Sauverny;992
01398;Savigneux;1449
01399;Ségny;2412
01400;Seillonnaz;137
01401;Sergy;2218
01402;Sermoyer;648
01403;Serrières-de-Briord;1312
01404;Serrières-sur-Ain;134
01405;Servas;1270
01406;Servignat;175
01407;Seyssel;1001
01408;Simandre-sur-Suran;656
01410;Sonthonnax-la-Montagne;292
01411;Souclin;267
01412;Sulignat;608
01415;Talissieu;519
01416;Tenay;1013
01418;Thil;1156
01419;Thoiry;6136
01420;Thoissey;1655
01421;Torcieu;744
01422;Tossiat;1352
01423;Toussieux;1198
01424;Tramoyes;1843
01425;La Tranclière;286
01426;Val-Revermont;2500
01427;Trévoux;6947
01428;Valeins;131
01429;Vandeins;717
01430;Varambon;654
01431;Vaux-en-Bugey;1234
01432;Verjon;339
01433;Vernoux;301
01434;Versailleux;494
01435;Versonnex;2137
01436;Vesancy;502
01437;Vescours;219
01439;Vésines;98
01441;Vieu-d'Izenave;735
01443;Villars-les-Dombes;4954
01444;Villebois;1197
01445;Villemotier;617
01446;Villeneuve;1569
01447;Villereversure;1353
01448;Villes;400
01449;Villette-sur-Ain;762
01450;Villieu-Loyes-Mollon;3793
01451;Viriat;6808
01452;Virieu-le-Grand;1118
01453;Arvière-en-Valromey;713
01454;Virignin;1127
01456;Vongnes;71
01457;Vonnas;3216
02001;Abbécourt;507
02002;Achery;594
02003;Acy;1016
02004;Agnicourt-et-Séchelles;186
02005;Aguilcourt;393
02006;Aisonville-et-Bernoville;259
02007;Aizelles;120
02008;Aizy-Jouy;303
02009;Alaincourt;527
02010;Allemant;169
02011;Ambleny;1181
02012;Ambrief;78
02013;Amifontaine;387
02014;Amigny-Rouy;716
02015;Ancienville;76
02016;Andelain;212
02017;Anguilcourt-le-Sart;295
02018;Anizy-le-Grand;2549
02019;Annois;355
02020;Any-Martin-Rieux;455
02021;Archon;79
02022;Arcy-Sainte-Restitue;399
02023;Armentières-sur-Ourcq;99
02024;Arrancy;47
02025;Artemps;365
02027;Assis-sur-Serre;206
02028;Athies-sous-Laon;2601
02029;Attilly;348
02030;Aubencheul-aux-Bois;248
02031;Aubenton;660
02032;Aubigny-aux-Kaisnes;247
02033;Aubigny-en-Laonnois;101
02034;Audignicourt;116
02035;Audigny;281
02036;Augy;70
02037;Aulnois-sous-Laon;1369
02038;Les Autels;62
02039;Autremencourt;175
02040;Autreppes;176
02041;Autreville;805
02042;Azy-sur-Marne;375
02043;Bagneux;63
02044;Bancigny;25
02046;Barenton-Bugny;557
02047;Barenton-Cel;108
02048;Barenton-sur-Serre;130
02049;Barisis-aux-Bois;739
02050;Barzy-en-Thiérache;319
02051;Barzy-sur-Marne;392
02052;Bassoles-Aulers;129
02053;Vallées en Champagne;581
02054;Bazoches-et-Saint-Thibaut;524
02055;Beaumé;86
02056;Beaumont-en-Beine;176
02057;Beaurevoir;1368
02058;Beaurieux;832
02059;Beautor;2672
02060;Beauvois-en-Vermandois;252
02061;Becquigny;258
02062;Belleau;134
02063;Bellenglise;380
02064;Belleu;3693
02065;Bellicourt;574
02066;Benay;191
02067;Bergues-sur-Sambre;208
02068;Berlancourt;83
02069;Berlise;105
02070;Bernot;438
02071;Berny-Rivière;641
02072;Berrieux;180
02073;Berry-au-Bac;703
02074;Bertaucourt-Epourdon;587
02075;Berthenicourt;193
02076;Bertricourt;149
02078;Besmé;167
02079;Besmont;142
02080;Besny-et-Loizy;322
02081;Béthancourt-en-Vaux;428
