Insee - Statistiques locales; ; 
Référentiel géographique : France par commune; ; 
Code;Libellé;Population municipale 2021
21690;Villeberny;95
21691;Villebichot;403
21692;Villecomte;245
21693;Villedieu;70
21694;Villeferry;23
21695;La Villeneuve-les-Convers;63
21696;Villeneuve-sous-Charigny;92
21698;Villers-la-Faye;394
21699;Villers-les-Pots;1192
21700;Villers-Patras;79
21701;Villers-Rotin;125
21702;Villey-sur-Tille;259
21703;Villiers-en-Morvan;49
21704;Villiers-le-Duc;108
21705;Villotte-Saint-Seine;70
21706;Villotte-sur-Ource;109
21707;Villy-en-Auxois;222
21708;Villy-le-Moutier;323
21709;Viserny;179
21710;Vitteaux;1059
21711;Vix;98
21712;Volnay;227
21713;Vonges;354
21714;Vosne-Romanée;340
21715;Voudenay;193
21716;Vougeot;155
21717;Voulaines-les-Templiers;270
22001;Allineuc;596
22002;Andel;1156
22003;Aucaleuc;929
22004;Bégard;4839
22005;Belle-Isle-en-Terre;1030
22006;Berhet;273
22008;Bobital;1139
22009;Le Bodéo;170
22011;Boqueho;1056
22012;La Bouillie;865
22013;Bourbriac;2126
22014;Bourseul;1218
22015;Bréhand;1707
22016;Île-de-Bréhat;402
22018;Brélidy;304
22019;Bringolo;503
22020;Broons;2924
22021;Brusvily;1158
22023;Bulat-Pestivien;412
22024;Calanhel;227
22025;Callac;2235
22026;Calorguen;729
22027;Le Cambout;411
22028;Camlez;830
22029;Canihuel;347
22030;Caouënnec-Lanvézéac;905
22031;Carnoët;658
22032;Caulnes;2504
22033;Caurel;357
22034;Cavan;1528
22035;Les Champs-Géraux;1047
22036;La Chapelle-Blanche;211
22037;La Chapelle-Neuve;394
22039;La Chèze;566
22040;Coadout;553
22041;Coatascorn;255
22042;Coatréven;498
22043;Coëtlogon;217
22044;Coëtmieux;1812
22045;Cohiniac;380
22046;Le Mené;6413
22047;Corlay;916
22048;Corseul;2223
22049;Créhen;1654
22050;Dinan;14675
22052;Duault;382
22053;Éréac;678
22054;Erquy;3909
22055;Binic-Étables-sur-Mer;6881
22056;Évran;1794
22057;Le Faouët;410
22059;Le Fœil;1394
22060;Gausson;634
22061;Glomel;1384
22062;Gomené;539
22063;Gommenec'h;550
22064;Gouarec;957
22065;Goudelin;1720
22067;Grâces;2576
22068;Grâce-Uzel;429
22069;Guenroc;217
22070;Guingamp;7105
22071;Guitté;725
22072;Gurunhuel;404
22073;La Harmoye;373
22074;Le Haut-Corlay;642
22075;Hémonstoir;728
22076;Hénanbihen;1378
22077;Hénansal;1231
22079;Hénon;2320
22081;Hillion;4274
22082;Le Hinglé;907
22083;Illifaut;671
22084;Jugon-les-Lacs;2529
22085;Kerbors;286
22086;Kerfot;647
22087;Kergrist-Moëlou;644
22088;Kerien;249
22090;Kermaria-Sulard;1101
22091;Kermoroc'h;433
22092;Kerpert;269
22093;Lamballe-Armor;16845
22094;Lancieux;1584
22095;Landebaëron;172
22096;Landébia;447
22097;La Landec;738
22098;Landéhen;1442
22099;Lanfains;1104
22101;Langoat;1152
22103;Langrolay-sur-Rance;974
22104;Languédias;553
22105;Languenan;1148
22106;Langueux;7886
22107;Bon Repos sur Blavet;1241
22108;Lanleff;122
22109;Lanloup;237
22110;Lanmérin;582
22111;Lanmodez;403
22112;Lannebert;439
22113;Lannion;20344
22114;Lanrelas;856
22115;Lanrivain;457
22116;Lanrodec;1375
22117;Lantic;1771
22118;Lanvallay;4222
22119;Lanvellec;595
22121;Lanvollon;1846
22122;Laurenan;739
22124;Lescouët-Gouarec;214
22126;Le Leslay;155
22127;Lézardrieux;1582
22128;Locarn;409
22129;Loc-Envel;72
22131;Loguivy-Plougras;792
22132;Lohuec;246
22133;Loscouët-sur-Meu;630
22134;Louannec;3085
22135;Louargat;2338
22136;Loudéac;9762
22137;Maël-Carhaix;1463
22138;Maël-Pestivien;348
22139;Magoar;80
22140;La Malhoure;616
22141;Mantallot;235
22143;Matignon;1704
22144;La Méaugon;1332
22145;Mégrit;818
22146;Mellionnec;399
22147;Merdrignac;2964
22148;Mérillac;236
22149;Merléac;446
22150;Le Merzer;961
22152;Minihy-Tréguier;1249
22153;Moncontour;745
22155;La Motte;2145
22156;Moustéru;639
22157;Le Moustoir;663
22158;Guerlédan;2498
22160;Noyal;962
22161;Pabu;2762
22162;Paimpol;7191
22163;Paule;679
22164;Pédernec;1874
22165;Penguily;607
22166;Penvénan;2511
22168;Perros-Guirec;7175
22169;Peumerit-Quintin;177
22170;Plaine-Haute;1684
22171;Plaintel;4540
22172;Plancoët;3057
22174;Pléboulle;768
22175;Plédéliac;1541
22176;Plédran;6910
22177;Pléguien;1412
22178;Pléhédel;1327
22179;Fréhel;1608
22180;Plélan-le-Petit;1933
22181;Plélauff;657
22182;Plélo;3230
22183;Plémet;3739
22184;Plémy;1589
22185;Plénée-Jugon;2487
22186;Pléneuf-Val-André;4063
22187;Plérin;14704
22188;Plerneuf;1115
22189;Plésidy;563
22190;Pleslin-Trigavou;3955
22193;Plestan;1640
22194;Plestin-les-Grèves;3635
22195;Pleubian;2304
22196;Pleudaniel;929
22197;Pleudihen-sur-Rance;3025
22198;Pleumeur-Bodou;3809
22199;Pleumeur-Gautier;1185
22200;Pléven;610
22201;Plévenon;754
22202;Plévin;754
22203;Plœuc-L'Hermitage;4112
22204;Ploëzal;1224
22205;Plorec-sur-Arguenon;422
22206;Châtelaudren-Plouagat;3961
22207;Plouaret;2206
22208;Plouasne;1729
22209;Beaussais-sur-Mer;4168
22210;Ploubazlanec;3040
22211;Ploubezre;3743
22212;Plouëc-du-Trieux;1143
22213;Plouër-sur-Rance;3469
22214;Plouézec;3110
22215;Ploufragan;11369
22216;Plougonver;754
22217;Plougras;421
22218;Plougrescant;1153
22219;Plouguenast-Langast;2406
22220;Plouguernével;1605
22221;Plouguiel;1745
22222;Plouha;4596
22223;Plouisy;2006
22224;Ploulec'h;1578
22225;Ploumagoar;5411
22226;Ploumilliau;2453
22227;Plounérin;793
22228;Plounévez-Moëdec;1467
22229;Plounévez-Quintin;1060
22231;Plourac'h;339
22232;Plourhan;2088
22233;Plourivo;2263
22234;Plouvara;1154
22235;Plouzélambre;214
22236;Pludual;730
22237;Pluduno;2208
22238;Plufur;533
22239;Plumaudan;1382
22240;Plumaugat;1130
22241;Plumieux;1025
22242;Plurien;1528
22243;Plusquellec;553
22244;Plussulien;493
22245;Pluzunet;952
22246;Pommeret;2121
22248;Pommerit-le-Vicomte;1834
22249;Pont-Melvez;607
22250;Pontrieux;998
22251;Pordic;7316
22254;Prat;1103
22255;La Prénessaye;874
22256;Quemper-Guézennec;1057
22257;Quemperven;404
22258;Quessoy;3891
22259;Quévert;3966
22260;Le Quillio;579
22261;Quintenic;363
22262;Quintin;2783
22263;Le Quiou;351
22264;La Roche-Jaudy;2657
22265;Rospez;1787
22266;Rostrenen;3207
22267;Rouillac;396
22268;Ruca;595
22269;Runan;262
22271;Saint-Adrien;359
22272;Saint-Agathon;2236
22273;Saint-Alban;2309
22274;Saint-André-des-Eaux;390
22275;Saint-Barnabé;1214
22276;Saint-Bihy;264
22277;Saint-Brandan;2295
22278;Saint-Brieuc;44224
22279;Saint-Caradec;1131
22280;Saint-Carné;1096
22281;Saint-Carreuc;1532
22282;Saint-Cast-le-Guildo;3334
22283;Saint-Clet;872
22284;Saint-Connan;294
22285;Saint-Connec;259
22286;Saint-Denoual;484
22287;Saint-Donan;1456
22288;Saint-Étienne-du-Gué-de-l'Isle;365
22289;Saint-Fiacre;213
22291;Saint-Gildas;244
22293;Saint-Gilles-les-Bois;392
22294;Saint-Gilles-Pligeaux;305
22295;Saint-Gilles-Vieux-Marché;328
22296;Saint-Glen;662
22299;Saint-Hélen;1531
22300;Saint-Hervé;401
22302;Saint-Jacut-de-la-Mer;910
22304;Saint-Jean-Kerdaniel;680
22305;Saint-Jouan-de-l'Isle;469
22306;Saint-Judoce;578
22307;Saint-Julien;2066
22308;Saint-Juvat;649
22309;Saint-Launeuc;190
22310;Saint-Laurent;512
22311;Saint-Lormel;882
22312;Saint-Maden;221
22313;Saint-Martin-des-Prés;316
22314;Saint-Maudan;398
22315;Saint-Maudez;284
22316;Saint-Mayeux;463
22317;Saint-Méloir-des-Bois;270
22318;Saint-Michel-de-Plélan;305
22319;Saint-Michel-en-Grève;448
22320;Saint-Nicodème;174
22321;Saint-Nicolas-du-Pélem;1548
22322;Saint-Péver;380
22323;Saint-Pôtan;828
22324;Saint-Quay-Perros;1285
22325;Saint-Quay-Portrieux;3175
22326;Saint-Rieul;545
22327;Saint-Samson-sur-Rance;1635
22328;Saint-Servais;418
22330;Saint-Thélo;378
22331;Sainte-Tréphine;186
22332;Saint-Trimoël;513
22333;Saint-Vran;760
22334;Saint-Igeaux;124
22335;Senven-Léhart;239
22337;Sévignac;1116
22338;Squiffiec;756
22339;Taden;2563
22340;Tonquédec;1201
22341;Tramain;697
22342;Trébédan;435
22343;Trébeurden;3761
22344;Trébrivan;759
22345;Trébry;801
22346;Trédaniel;886
22347;Trédarzec;1061
22348;Trédias;502
22349;Trédrez-Locquémeau;1456
22350;Tréduder;192
22351;Treffrin;533
22352;Tréfumel;275
22353;Trégastel;2541
22354;Tréglamus;1105
22356;Trégomeur;948
22358;Trégonneau;541
22359;Trégrom;429
22360;Trégueux;8450
22361;Tréguidel;631
22362;Tréguier;2409
22363;Trélévern;1241
22364;Trélivan;2892
22365;Trémargat;176
22366;Trémel;404
22368;Tréméreuc;731
22369;Trémeur;797
22370;Tréméven;352
22371;Trémorel;1150
22372;Trémuson;2201
22373;Tréogan;108
22375;Tressignaux;694
22376;Trévé;1684
22377;Tréveneuc;804
22378;Trévérec;220
22379;Trévou-Tréguignec;1541
22380;Trévron;684
22381;Trézény;354
22383;Troguéry;211
22384;Uzel;1107
22385;La Vicomté-sur-Rance;1125
22386;Le Vieux-Bourg;777
22387;Le Vieux-Marché;1273
22388;Vildé-Guingalan;1276
22389;Yffiniac;4987
22390;Yvias;774
22391;Yvignac-la-Tour;1113
23001;Ahun;1433
23002;Ajain;1032
23003;Alleyrat;137
23004;Anzême;543
23005;Arfeuille-Châtain;200
23006;Arrènes;207
23007;Ars;232
23008;Aubusson;3108
23009;Auge;91
23010;Augères;118
23011;Aulon;162
23012;Auriat;109
23013;Auzances;1177
23014;Azat-Châtenet;123
23015;Azerables;805
23016;Banize;181
23017;Basville;168
23018;Bazelat;236
23019;Beissat;28
23020;Bellegarde-en-Marche;375
23021;Bénévent-l'Abbaye;764
23022;Bétête;380
23023;Blaudeix;106
23024;Blessac;534
23025;Bonnat;1352
23026;Bord-Saint-Georges;364
23027;Bosmoreau-les-Mines;229
23028;Bosroger;114
23029;Le Bourg-d'Hem;226
23030;Bourganeuf;2450
23031;Boussac;1242
23032;Boussac-Bourg;687
23033;La Brionne;453
23034;Brousse;30
23035;Budelière;707
23036;Bussière-Dunoise;1040
23037;Bussière-Nouvelle;77
23038;Bussière-Saint-Georges;255
23039;La Celle-Dunoise;532
23040;La Celle-sous-Gouzon;155
23041;La Cellette;237
23042;Ceyroux;126
23043;Chamberaud;97
23044;Chambon-Sainte-Croix;84
23045;Chambon-sur-Voueize;859
23046;Chambonchard;80
23047;Chamborand;244
23048;Champagnat;476
23049;Champsanglard;253
23050;La Chapelle-Baloue;122
23051;La Chapelle-Saint-Martial;77
23052;La Chapelle-Taillefert;441
23053;Chard;205
23054;Charron;206
23055;Châtelard;30
23056;Châtelus-le-Marcheix;286
23057;Châtelus-Malvaleix;546
23058;Le Chauchet;103
23059;La Chaussade;96
23060;Chavanat;140
23061;Chénérailles;744
23062;Chéniers;556
23063;Clairavaux;153
23064;Clugnat;650
23065;Colondannes;282
23066;Le Compas;193
23067;La Courtine;767
23068;Cressat;516
23069;Crocq;397
23070;Crozant;433
23071;Croze;188
23072;Domeyrot;236
23073;Dontreix;412
23074;Le Donzeil;187
23075;Dun-le-Palestel;1091
23076;Évaux-les-Bains;1291
23077;Faux-la-Montagne;447
23078;Faux-Mazuras;191
23079;Felletin;1536
23080;Féniers;103
23081;Flayat;300
23082;Fleurat;310
23083;Fontanières;250
23084;La Forêt-du-Temple;144
23086;Fransèches;242
23087;Fresselines;493
23088;Gartempe;116
23089;Genouillac;727
23090;Gentioux-Pigerolles;373
23091;Gioux;171
23092;Glénic;663
23093;Gouzon;1560
23095;Le Grand-Bourg;1195
23096;Guéret;12840
23097;Issoudun-Létrieix;294
23098;Jalesches;92
23099;Janaillat;318
23100;Jarnages;456
23101;Jouillat;378
23102;Ladapeyre;351
23103;Lafat;320
23104;Lavaufranche;240
23105;Lavaveix-les-Mines;639
23106;Lépaud;367
23107;Lépinas;126
23108;Leyrat;142
23109;Linard-Malval;208
23110;Lioux-les-Monges;58
23111;Lizières;238
23112;Lourdoueix-Saint-Pierre;724
23113;Lupersat;293
23114;Lussat;401
23115;Magnat-l'Étrange;245
23116;Mainsat;534
23117;Maison-Feyne;290
23118;Maisonnisses;175
23119;Malleret;42
23120;Malleret-Boussac;179
23122;Mansat-la-Courrière;64
23123;Les Mars;182
23124;Marsac;643
23125;Le Mas-d'Artige;96
23127;Mautes;197
23128;Mazeirat;125
23129;La Mazière-aux-Bons-Hommes;60
23130;Méasnes;525
23131;Mérinchal;667
23132;Montaigut-le-Blanc;385
23133;Montboucher;362
23134;Le Monteil-au-Vicomte;215
23136;Mortroux;275
23137;Mourioux-Vieilleville;521
23138;Moutier-d'Ahun;162
23139;Moutier-Malcard;540
23140;Moutier-Rozeille;428
23141;Naillat;648
23142;Néoux;282
23143;Noth;492
23144;La Nouaille;231
23145;Nouhant;289
23146;Nouzerines;236
23147;Nouzerolles;95
23148;Nouziers;248
23149;Parsac-Rimondeix;713
23150;Peyrabout;153
23151;Peyrat-la-Nonière;424
23152;Pierrefitte;68
23154;Pionnat;722
23155;Pontarion;362
23156;Pontcharraud;83
23157;La Pouge;96
23158;Poussanges;153
23159;Puy-Malsignat;147
23160;Reterre;265
23162;Roches;370
23164;Rougnat;476
23165;Royère-de-Vassivière;574
23166;Sagnat;193
23167;Sannat;343
23168;Sardent;757
23169;La Saunière;653
23170;Savennes;210
23171;Sermur;105
23172;La Serre-Bussière-Vieille;122
23173;Soubrebost;139
23174;Soumans;572
23175;Sous-Parsat;114
23176;La Souterraine;4933
23177;Saint-Agnant-de-Versillat;1079
23178;Saint-Agnant-près-Crocq;178
23179;Saint-Alpinien;284
23180;Saint-Amand;464
23181;Saint-Amand-Jartoudeix;153
23182;Saint-Avit-de-Tardes;166
23183;Saint-Avit-le-Pauvre;82
23184;Saint-Bard;96
23185;Saint-Chabrais;306
23186;Saint-Christophe;152
23187;Saint-Dizier-la-Tour;183
23188;Saint-Dizier-les-Domaines;200
23189;Saint-Dizier-Masbaraud;1125
23190;Saint-Domet;161
23191;Saint-Éloi;178
23192;Fursac;1437
23193;Sainte-Feyre;2497
23194;Sainte-Feyre-la-Montagne;120
23195;Saint-Fiel;1061
23196;Saint-Frion;254
23197;Saint-Georges-la-Pouge;368
23198;Saint-Georges-Nigremont;144
23199;Saint-Germain-Beaupré;357
23200;Saint-Goussaud;163
23201;Saint-Hilaire-la-Plaine;213
23202;Saint-Hilaire-le-Château;226
23203;Saint-Julien-la-Genête;220
23204;Saint-Julien-le-Châtel;140
23205;Saint-Junien-la-Bregère;144
23206;Saint-Laurent;685
23207;Saint-Léger-Bridereix;175
23208;Saint-Léger-le-Guérétois;404
23209;Saint-Loup;183
23210;Saint-Maixant;244
23211;Saint-Marc-à-Frongier;427
23212;Saint-Marc-à-Loubaud;126
23213;Saint-Marien;193
23214;Saint-Martial-le-Mont;267
23215;Saint-Martial-le-Vieux;147
23216;Saint-Martin-Château;148
23217;Saint-Martin-Sainte-Catherine;334
23218;Saint-Maurice-près-Crocq;96
23219;Saint-Maurice-la-Souterraine;1158
23220;Saint-Médard-la-Rochette;556
23221;Saint-Merd-la-Breuille;193
23222;Saint-Michel-de-Veisse;164
23223;Saint-Moreil;215
23224;Saint-Oradoux-de-Chirouze;71
23225;Saint-Oradoux-près-Crocq;108
23226;Saint-Pardoux-d'Arnet;166
23227;Saint-Pardoux-Morterolles;208
23228;Saint-Pardoux-le-Neuf;203
23229;Saint-Pardoux-les-Cards;287
23230;Saint-Pierre-Chérignat;164
23232;Saint-Pierre-Bellevue;211
23233;Saint-Pierre-le-Bost;121
23234;Saint-Priest;150
23235;Saint-Priest-la-Feuille;739
23236;Saint-Priest-la-Plaine;257
23237;Saint-Priest-Palus;55
23238;Saint-Quentin-la-Chabanne;373
23239;Saint-Sébastien;627
23240;Saint-Silvain-Bas-le-Roc;411
23241;Saint-Silvain-Bellegarde;208
23242;Saint-Silvain-Montaigut;204
23243;Saint-Silvain-sous-Toulx;147
23244;Saint-Sulpice-le-Dunois;570
23245;Saint-Sulpice-le-Guérétois;1911
23246;Saint-Sulpice-les-Champs;345
23247;Saint-Vaury;1732
23248;Saint-Victor-en-Marche;351
23249;Saint-Yrieix-la-Montagne;221
23250;Saint-Yrieix-les-Bois;287
23251;Tardes;120
23252;Tercillat;150
23253;Thauron;174
23254;Toulx-Sainte-Croix;251
23255;Trois-Fonds;124
23257;Vallière;714
23258;Vareilles;313
23259;Verneiges;121
23260;Vidaillat;195
23261;Viersat;287
23262;Vigeville;164
23263;Villard;380
23264;La Villedieu;49
23265;La Villeneuve;47
23266;La Villetelle;168
24001;Abjat-sur-Bandiat;631
24002;Agonac;1796
24004;Ajat;292
24005;Alles-sur-Dordogne;388
24006;Allas-les-Mines;191
24007;Allemans;528
24008;Angoisse;591
24009;Anlhiac;265
24010;Annesse-et-Beaulieu;1445
24011;Antonne-et-Trigonant;1257
24012;Archignac;396
24014;Aubas;616
24015;Audrix;258
24016;Augignac;822
24018;Auriac-du-Périgord;401
24019;Azerat;434
24020;La Bachellerie;895
24021;Badefols-d'Ans;398
24022;Badefols-sur-Dordogne;207
24023;Baneuil;319
24024;Bardou;45
24025;Bars;240
24026;Bassillac et Auberoche;4363
24027;Bayac;357
24028;Beaumontois en Périgord;1767
24029;Beaupouyet;542
24030;Beauregard-de-Terrasson;679
24031;Beauregard-et-Bassac;290
24032;Beauronne;368
24034;Beleymas;273
24035;Pays de Belvès;1322
24036;Berbiguières;176
24037;Bergerac;26323
24038;Bertric-Burée;425
24039;Besse;158
24040;Beynac-et-Cazenac;497
24042;Biras;700
24043;Biron;140
24045;Boisse;248
24046;Boisseuilh;113
24048;Bonneville-et-Saint-Avit-de-Fumadières;309
24050;Borrèze;348
24051;Bosset;226
24052;Bouillac;126
24053;Boulazac Isle Manoire;10697
24054;Bouniagues;600
24055;Bourdeilles;780
24056;Le Bourdeix;234
24057;Bourg-des-Maisons;70
24058;Bourg-du-Bost;226
24059;Bourgnac;351
24060;Bourniquel;72
24061;Bourrou;127
24062;Bouteilles-Saint-Sébastien;179
24063;Bouzic;149
24064;Brantôme en Périgord;3721
24066;Brouchaud;210
24067;Le Bugue;2613
24068;Le Buisson-de-Cadouin;1945
24069;Bussac;391
24070;Busserolles;505
24071;Bussière-Badil;373
24073;Calès;376
24074;Calviac-en-Périgord;531
24075;Campagnac-lès-Quercy;324
24076;Campagne;417
24077;Campsegret;390
24080;Capdrot;461
24081;Carlux;640
24082;Carsac-Aillac;1541
24083;Carsac-de-Gurson;182
24084;Carves;103
24085;La Cassagne;153
24086;Castelnaud-la-Chapelle;447
24087;Castels et Bézenac;808
24088;Cause-de-Clérans;341
24090;Celles;602
24091;Cénac-et-Saint-Julien;1194
24094;Chalagnac;442
24095;Chalais;404
24096;Champagnac-de-Belair;782
24097;Champagne-et-Fontaine;347
24098;Champcevinel;3029
24100;Champniers-et-Reilhac;482
24101;Champs-Romain;283
24102;Chancelade;4435
24104;Chantérac;627
24105;Chapdeuil;138
24106;La Chapelle-Aubareil;538
24107;La Chapelle-Faucher;390
24108;La Chapelle-Gonaguet;1067
24109;La Chapelle-Grésignac;103
24110;La Chapelle-Montabourlet;59
24111;La Chapelle-Montmoreau;74
24113;La Chapelle-Saint-Jean;86
24114;Chassaignes;69
24115;Château-l'Évêque;2151
24116;Châtres;182
24117;Les Coteaux Périgourdins;556
24119;Cherval;231
24120;Cherveix-Cubas;555
24121;Chourgnac;66
24122;Cladech;95
24123;Clermont-de-Beauregard;122
24124;Clermont-d'Excideuil;241
24126;Colombier;274
24128;Comberanche-et-Épeluche;164
24129;Condat-sur-Trincou;486
24130;Condat-sur-Vézère;871
24131;Connezac;73
24132;Conne-de-Labarde;262
24133;La Coquille;1261
24134;Corgnac-sur-l'Isle;854
24135;Cornille;690
24136;Coubjours;111
24137;Coulaures;731
24138;Coulounieix-Chamiers;7245
24139;Coursac;2284
24140;Cours-de-Pile;1548
24141;Coutures;193
24142;Coux et Bigaroque-Mouzens;1223
24143;Couze-et-Saint-Front;722
24144;Creyssac;101
24145;Creysse;1747
24146;Creyssensac-et-Pissot;259
24147;Cubjac-Auvézère-Val d'Ans;1104
24148;Cunèges;305
24150;Daglan;541
24151;Doissat;102
24152;Domme;902
24153;La Dornac;401
24154;Douchapt;346
24155;Douville;459
24156;La Douze;1155
24157;Douzillac;828
24158;Dussac;417
24159;Échourgnac;393
24160;Église-Neuve-de-Vergt;578
24161;Église-Neuve-d'Issac;123
24162;Escoire;396
24163;Étouars;163
24164;Excideuil;1186
24165;Eygurande-et-Gardedeuil;410
24167;Eymet;2535
24168;Plaisance;417
24171;Eyzerac;553
24172;Les Eyzies;1121
24174;Fanlac;140
24175;Les Farges;304
24176;Faurilles;35
24177;Faux;661
24179;La Feuillade;788
24180;Firbeix;305
24182;Le Fleix;1493
24183;Fleurac;309
24184;Florimont-Gaumier;156
24186;Fonroque;331
24188;Fossemagne;548
24189;Fougueyrolles;448
24190;Fouleix;269
24191;Fraisse;175
24192;Gabillou;95
24193;Gageac-et-Rouillac;459
24194;Gardonne;1590
24195;Gaugeac;107
24196;Génis;498
24197;Ginestet;746
24199;Gout-Rossignol;365
24200;Grand-Brassac;538
24202;Granges-d'Ans;145
24205;Grignols;667
24206;Grives;107
24207;Groléjac;664
24208;Grun-Bordas;244
24209;Hautefaye;134
24210;Hautefort;818
24211;Issac;429
24212;Issigeac;746
24213;Jaure;176
24214;Javerlhac-et-la-Chapelle-Saint-Robert;823
24215;Jayac;185
24216;La Jemaye-Ponteyraud;150
24217;Journiac;467
24218;Jumilhac-le-Grand;1140
24220;Lacropte;689
24221;Rudeau-Ladosse;156
24222;La Force;2658
24223;Lalinde;2881
24224;Lamonzie-Montastruc;692
24225;Lamonzie-Saint-Martin;2741
24226;Lamothe-Montravel;1410
24227;Lanouaille;948
24228;Lanquais;499
24229;Le Lardin-Saint-Lazare;1665
24230;Larzac;150
24231;Lavalade;103
24232;Lavaur;76
24234;Les Lèches;377
24236;Léguillac-de-l'Auche;981
24237;Lembras;1243
24238;Lempzours;133
24240;Limeuil;335
24241;Limeyrat;434
24242;Liorac-sur-Louyre;260
24243;Lisle;823
24244;Lolme;191
24245;Loubejac;258
24246;Lunas;432
24247;Lusignac;162
24248;Lussas-et-Nontronneau;287
24251;Manzac-sur-Vern;547
24252;Marcillac-Saint-Quentin;829
24253;Mareuil en Périgord;2303
24254;Marnac;181
24255;Marquay;586
24256;Marsac-sur-l'Isle;3143
24257;Marsalès;227
24259;Eyraud-Crempse-Maurens;1629
24260;Mauzac-et-Grand-Castang;873
24261;Mauzens-et-Miremont;286
24262;Mayac;330
24263;Mazeyrolles;304
24264;Ménesplet;1887
24266;Mensignac;1520
24267;Mescoules;180
24268;Meyrals;693
24269;Mialet;633
24271;Milhac-de-Nontron;495
24272;Minzac;486
24273;Molières;344
24274;Monbazillac;810
24276;Monestier;409
24277;Monfaucon;288
24278;Monmadalès;80
24279;Monmarvès;62
24280;Monpazier;447
24281;Monsac;183
24282;Monsaguel;139
24284;Montagnac-d'Auberoche;133
24285;Montagnac-la-Crempse;405
24286;Montagrier;501
24287;Montaut;127
24288;Montazeau;281
24289;Montcaret;1429
24290;Montferrand-du-Périgord;154
24291;Montignac-Lascaux;2759
24292;Montpeyroux;487
24293;Monplaisant;279
24294;Montpon-Ménestérol;5834
24295;Montrem;1194
24296;Mouleydier;1150
24297;Moulin-Neuf;948
24299;Mussidan;2776
24300;Nabirat;359
24301;Nadaillac;379
24302;Nailhac;293
24303;Nanteuil-Auriac-de-Bourzac;232
24304;Nantheuil;978
24305;Nanthiat;235
24306;Nastringues;128
24307;Naussannes;246
24308;Négrondes;787
24309;Neuvic;3640
24311;Nontron;3041
24312;Sanilhac;4674
24313;Orliac;47
24316;Parcoul-Chenaud;800
24317;Paulin;248
24318;Paunat;317
24319;Paussac-et-Saint-Vivien;467
24320;Payzac;971
24321;Pazayac;827
24322;Périgueux;29516
24323;Petit-Bersac;186
24324;Peyrignac;581
24325;Pechs-de-l'Espérance;772
24326;Peyzac-le-Moustier;197
24327;Pezuls;123
24328;Piégut-Pluviers;1183
24329;Le Pizou;1383
24330;Plazac;703
24331;Pomport;732
24334;Pontours;201
24335;Port-Sainte-Foy-et-Ponchapt;2501
24336;Prats-de-Carlux;491
24337;Prats-du-Périgord;146
24338;Pressignac-Vicq;444
24339;Preyssac-d'Excideuil;141
24340;Prigonrieux;4292
24341;Proissans;1071
24345;Queyssac;509
24346;Quinsac;384
24347;Rampieux;140
24348;Razac-d'Eymet;320
24349;Razac-de-Saussignac;341
24350;Razac-sur-l'Isle;2369
24351;Ribagnac;323
24352;Ribérac;3828
24353;La Rochebeaucourt-et-Argentine;331
24354;La Roche-Chalais;3018
24355;La Roque-Gageac;430
24356;Rouffignac-Saint-Cernin-de-Reilhac;1641
24357;Rouffignac-de-Sigoulès;309
24359;Sadillac;109
24360;Sagelat;316
24361;Saint-Agne;449
24362;Val de Louyre et Caudeau;1590
24364;Coly-Saint-Amand;608
24365;Saint-Amand-de-Vergt;248
24366;Saint-André-d'Allas;875
24367;Saint-André-de-Double;175
24370;Saint-Antoine-de-Breuilh;1844
24371;Saint-Aquilin;470
24372;Saint-Astier;5320
24373;Saint-Aubin-de-Cadelech;347
24374;Saint-Aubin-de-Lanquais;357
24375;Saint-Aubin-de-Nabirat;154
24376;Saint Aulaye-Puymangou;1414
24377;Saint-Avit-de-Vialard;153
24378;Saint-Avit-Rivière;84
24379;Saint-Avit-Sénieur;409
24380;Saint-Barthélemy-de-Bellegarde;504
24381;Saint-Barthélemy-de-Bussière;212
24382;Saint-Capraise-de-Lalinde;524
24383;Saint-Capraise-d'Eymet;166
24384;Saint-Cassien;34
24385;Saint-Cernin-de-Labarde;224
24386;Saint-Cernin-de-l'Herm;200
24388;Saint-Chamassy;493
24390;Saint-Crépin-d'Auberoche;332
24392;Saint-Crépin-et-Carlucet;528
24393;Sainte-Croix;87
24394;Sainte-Croix-de-Mareuil;148
24395;Saint-Cybranet;363
24396;Saint-Cyprien;1551
24397;Saint-Cyr-les-Champagnes;280
24398;Saint-Estèphe;589
24399;Saint-Étienne-de-Puycorbier;108
24401;Sainte-Eulalie-d'Ans;297
24403;Saint-Félix-de-Bourdeilles;68
24404;Saint-Félix-de-Reillac-et-Mortemart;177
24405;Saint-Félix-de-Villadeix;323
24406;Sainte-Foy-de-Belvès;140
24407;Sainte-Foy-de-Longas;242
24408;Saint-Front-d'Alemps;255
24409;Saint-Front-de-Pradoux;1168
24410;Saint-Front-la-Rivière;497
24411;Saint-Front-sur-Nizonne;164
24412;Saint-Geniès;902
24413;Saint-Georges-Blancaneix;286
24414;Saint-Georges-de-Montclard;276
24415;Saint-Géraud-de-Corps;222
24416;Saint-Germain-de-Belvès;173
24417;Saint-Germain-des-Prés;462
24418;Saint-Germain-du-Salembre;920
24419;Saint-Germain-et-Mons;876
24420;Saint-Géry;247
24421;Saint-Geyrac;193
24422;Saint-Hilaire-d'Estissac;122
